@relation pacman-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast

@attribute pos_x numeric
@attribute pos_y numeric
@attribute ghost1_alive {0,1}
@attribute ghost2_alive {0,1}
@attribute ghost3_alive {0,1}
@attribute ghost4_alive {0,1}
@attribute ghost1_pos_x numeric
@attribute ghost1_pos_y numeric
@attribute ghost2_pos_x numeric
@attribute ghost2_pos_y numeric
@attribute ghost3_pos_x numeric
@attribute ghost3_pos_y numeric
@attribute ghost4_pos_x numeric
@attribute ghost4_pos_y numeric
@attribute distance_to_ghost1 numeric
@attribute distance_to_ghost2 numeric
@attribute distance_to_ghost3 numeric
@attribute distance_to_ghost4 numeric
@attribute relative_distance_ghost1_x numeric
@attribute relative_distance_ghost1_y numeric
@attribute relative_distance_ghost2_x numeric
@attribute relative_distance_ghost2_y numeric
@attribute relative_distance_ghost3_x numeric
@attribute relative_distance_ghost3_y numeric
@attribute relative_distance_ghost4_x numeric
@attribute relative_distance_ghost4_y numeric
@attribute legal_north {0,1}
@attribute legal_south {0,1}
@attribute legal_east {0,1}
@attribute legal_west {0,1}
@attribute score numeric
@attribute chosen_move {1,2,3,4,5}

@data
3,6,1,1,1,1,4,7,10,5,19,6,24,15,3,9,29,31,-1,-1,-7,1,-16,0,-21,-9,1,1,1,1,-13,3
3,7,1,1,1,1,4,7,9,5,20,6,24,16,2,9,31,33,-1,0,-6,2,-17,1,-21,-9,1,1,1,0,-14,1
4,7,0,1,1,1,1,1,8,5,21,6,24,15,-1,7,31,31,3,6,-4,2,-17,1,-20,-8,1,1,1,1,-15,3
4,6,0,1,1,1,1,1,8,5,20,6,24,14,-1,6,29,31,3,5,-4,1,-16,0,-20,-8,1,1,1,1,184,2
5,6,0,1,1,1,1,1,8,5,20,6,24,15,-1,5,28,29,4,5,-3,1,-15,0,-19,-9,1,1,1,1,183,3
6,6,0,1,1,1,1,1,8,4,19,6,24,14,-1,5,26,29,5,5,-2,2,-13,0,-18,-8,1,0,1,1,182,3
7,6,0,1,1,1,1,1,8,4,20,6,23,14,-1,4,26,27,6,5,-1,2,-13,0,-16,-8,0,0,1,1,181,3
8,6,0,1,1,1,1,1,8,4,21,6,23,15,-1,3,26,25,7,5,0,2,-13,0,-15,-9,1,1,1,1,180,3
8,5,0,1,1,1,1,1,8,3,21,6,23,14,-1,3,27,27,7,4,0,2,-13,-1,-15,-9,1,1,1,0,179,2
8,4,0,1,1,1,1,1,8,3,20,6,23,14,-1,2,27,28,7,3,0,1,-12,-2,-15,-10,1,1,1,0,178,2
8,3,0,0,1,1,1,1,3,1,20,6,22,14,-1,-1,28,28,7,2,5,2,-12,-3,-14,-11,1,0,1,1,177,2
8,4,0,0,1,1,1,1,3,1,21,6,22,15,-1,-1,28,26,7,3,5,3,-13,-2,-14,-11,1,1,1,0,376,1
8,5,0,0,1,1,1,1,3,1,22,6,22,16,-1,-1,28,26,7,4,5,4,-14,-1,-14,-11,1,1,1,0,375,1
8,6,0,0,1,1,1,1,3,1,21,6,22,15,-1,-1,26,24,7,5,5,5,-13,0,-14,-9,1,1,1,1,374,1
9,6,0,0,1,1,1,1,3,1,21,6,22,16,-1,-1,25,24,8,5,6,5,-12,0,-13,-10,1,1,1,1,373,3
10,6,0,0,1,1,1,1,3,1,22,6,22,15,-1,-1,25,22,9,5,7,5,-12,0,-12,-9,1,1,1,1,372,3
11,6,0,0,1,1,1,1,3,1,22,6,22,16,-1,-1,24,22,10,5,8,5,-11,0,-11,-10,1,1,0,1,371,3
11,7,0,0,1,1,1,1,3,1,21,6,23,16,-1,-1,22,22,10,6,8,6,-10,1,-12,-9,1,1,0,1,370,1
11,8,0,0,1,1,1,1,3,1,22,6,24,16,-1,-1,22,22,10,7,8,7,-11,2,-13,-8,1,1,0,1,369,1
11,9,0,0,1,1,1,1,3,1,22,6,23,16,-1,-1,21,20,10,8,8,8,-11,3,-12,-7,1,1,0,1,368,1
11,10,0,0,1,1,1,1,3,1,23,6,23,16,-1,-1,21,19,10,9,8,9,-12,4,-12,-6,1,1,0,1,367,1
11,11,0,0,1,1,1,1,3,1,23,6,22,16,-1,-1,20,17,10,10,8,10,-12,5,-11,-5,1,1,0,1,366,1
11,12,0,0,1,1,1,1,3,1,24,6,21,16,-1,-1,20,15,10,11,8,11,-13,6,-10,-4,0,1,1,1,365,1
12,12,0,0,1,1,1,1,3,1,24,7,21,16,-1,-1,18,14,11,11,9,11,-12,5,-9,-4,0,0,1,1,364,3
13,12,0,0,1,1,1,1,3,1,24,8,21,17,-1,-1,16,14,12,11,10,11,-11,4,-8,-5,0,1,1,1,363,3
14,12,0,0,1,1,1,1,3,1,24,8,21,18,-1,-1,15,14,13,11,11,11,-10,4,-7,-6,1,1,1,1,362,3
14,13,0,0,1,1,1,1,3,1,25,8,22,18,-1,-1,17,14,13,12,11,12,-11,5,-8,-5,1,1,0,0,361,1
14,14,0,0,1,1,1,1,3,1,25,7,23,18,-1,-1,19,14,13,13,11,13,-11,7,-9,-4,1,1,1,1,360,1
14,15,0,0,1,1,1,1,3,1,25,7,24,18,-1,-1,20,14,13,14,11,14,-11,8,-10,-3,1,1,1,1,359,1
14,16,0,0,1,1,1,1,3,1,25,6,25,18,-1,-1,22,14,13,15,11,15,-11,10,-11,-2,1,1,1,1,358,1
14,17,0,0,1,1,1,1,3,1,24,6,24,18,-1,-1,22,12,13,16,11,16,-10,11,-10,-1,1,1,1,0,357,1
14,18,0,0,1,1,1,1,3,1,24,7,24,18,-1,-1,22,11,13,17,11,17,-10,11,-10,0,0,1,1,1,356,1
15,18,0,0,1,1,1,1,3,1,25,7,23,18,-1,-1,22,9,14,17,12,17,-10,11,-8,0,0,1,1,1,355,3
16,18,0,0,1,1,1,1,3,1,25,6,23,18,-1,-1,22,8,15,17,13,17,-9,12,-7,0,0,1,1,1,354,3
17,18,0,0,1,1,1,1,3,1,25,5,22,18,-1,-1,22,6,16,17,14,17,-8,13,-5,0,0,1,1,1,353,3
18,18,0,0,1,1,1,1,3,1,25,6,23,18,-1,-1,20,6,17,17,15,17,-7,12,-5,0,0,1,1,1,352,3
19,18,0,0,1,1,1,1,3,1,25,7,24,18,-1,-1,18,6,18,17,16,17,-6,11,-5,0,0,1,1,1,351,3
20,18,0,0,1,1,1,1,3,1,25,6,23,18,-1,-1,18,4,19,17,17,17,-5,12,-3,0,0,1,1,1,350,3
21,18,0,0,1,1,1,1,3,1,24,6,24,18,-1,-1,18,4,20,17,18,17,-3,12,-3,0,0,1,1,1,349,3
22,18,0,0,1,1,1,1,3,1,24,7,23,18,-1,-1,18,2,21,17,19,17,-2,11,-1,0,0,0,1,1,348,3
23,18,0,0,1,0,1,1,3,1,24,7,24,18,-1,-1,19,-1,22,17,20,17,-1,11,-1,0,0,0,1,1,347,3
22,18,0,0,1,0,1,1,3,1,24,7,7,1,-1,-1,18,-1,21,17,19,17,-2,11,15,17,0,0,1,1,546,4
21,18,0,0,1,0,1,1,3,1,23,7,7,1,-1,-1,16,-1,20,17,18,17,-2,11,14,17,0,1,1,1,545,4
21,17,0,0,1,0,1,1,3,1,24,7,7,1,-1,-1,16,-1,20,16,18,16,-3,10,14,16,1,1,0,1,544,2
21,16,0,0,1,0,1,1,3,1,24,7,7,1,-1,-1,15,-1,20,15,18,15,-3,9,14,15,1,1,1,1,543,2
21,15,0,0,1,0,1,1,3,1,23,7,7,1,-1,-1,13,-1,20,14,18,14,-2,8,14,14,1,0,1,1,542,2
20,15,0,0,1,0,1,1,3,1,23,8,7,1,-1,-1,11,-1,19,14,17,14,-3,7,13,14,1,1,1,0,541,4
20,14,0,0,1,0,1,1,3,1,23,8,7,1,-1,-1,10,-1,19,13,17,13,-3,6,13,13,1,1,0,1,540,2
20,13,0,0,1,0,1,1,3,1,23,7,7,1,-1,-1,10,-1,19,12,17,12,-3,6,13,12,1,1,0,1,539,2
20,12,0,0,1,0,1,1,3,1,23,6,7,1,-1,-1,10,-1,19,11,17,11,-3,6,13,11,1,1,0,1,538,2
20,11,0,0,1,0,1,1,3,1,23,7,7,1,-1,-1,8,-1,19,10,17,10,-3,4,13,10,1,1,0,1,537,2
20,10,0,0,1,0,1,1,3,1,23,7,7,1,-1,-1,7,-1,19,9,17,9,-3,3,13,9,1,0,1,1,536,2
21,10,0,0,1,0,1,1,3,1,23,7,7,1,-1,-1,6,-1,20,9,18,9,-2,3,14,9,0,0,1,1,535,3
22,10,0,0,1,0,1,1,3,1,23,6,7,1,-1,-1,6,-1,21,9,19,9,-1,4,15,9,1,0,1,1,534,3
23,10,0,0,1,0,1,1,3,1,23,6,7,1,-1,-1,5,-1,22,9,20,9,0,4,16,9,1,1,1,1,533,3
23,9,0,0,1,0,1,1,3,1,22,6,7,1,-1,-1,5,-1,22,8,20,8,1,3,16,8,1,1,1,0,532,2
23,8,0,0,1,0,1,1,3,1,21,6,7,1,-1,-1,5,-1,22,7,20,7,2,2,16,7,1,1,1,1,531,2
23,7,0,0,1,0,1,1,3,1,22,6,7,1,-1,-1,3,-1,22,6,20,6,1,1,16,6,1,1,1,0,530,2
23,6,0,0,1,0,1,1,3,1,21,6,7,1,-1,-1,3,-1,22,5,20,5,2,0,16,5,1,1,1,1,529,2
22,6,0,0,1,0,1,1,3,1,20,6,7,1,-1,-1,3,-1,21,5,19,5,2,0,15,5,0,0,1,1,528,4
21,6,0,0,1,0,1,1,3,1,19,6,7,1,-1,-1,3,-1,20,5,18,5,2,0,14,5,0,0,1,1,527,4
20,6,0,0,1,0,1,1,3,1,19,5,7,1,-1,-1,3,-1,19,5,17,5,1,1,13,5,0,1,1,1,526,4
20,5,0,0,1,0,1,1,3,1,19,5,7,1,-1,-1,2,-1,19,4,17,4,1,0,13,4,1,1,0,1,525,2
1,17,1,1,1,1,6,9,11,3,17,5,25,13,20,25,29,31,-5,8,-10,14,-16,12,-24,4,1,1,0,0,0,2
1,16,1,1,1,1,6,8,11,4,17,6,25,13,18,23,27,30,-5,8,-10,12,-16,10,-24,3,1,1,1,0,-1,2
1,15,1,1,1,1,5,8,11,5,17,5,25,14,16,21,27,28,-4,7,-10,10,-16,10,-24,1,1,1,1,0,-2,2
1,14,1,1,1,1,4,8,11,6,17,5,25,15,14,19,26,28,-3,6,-10,8,-16,9,-24,-1,1,1,1,0,-3,2
1,13,1,1,1,1,4,8,11,7,17,4,25,14,13,17,26,30,-3,5,-10,6,-16,9,-24,-1,1,1,0,0,-4,2
1,12,1,1,1,1,4,8,11,6,17,4,25,13,12,17,25,30,-3,4,-10,6,-16,8,-24,-1,1,1,1,0,-5,2
1,11,1,1,1,1,4,9,10,6,18,4,25,14,12,15,27,30,-3,2,-9,5,-17,7,-24,-3,1,1,0,0,-6,2
1,10,1,1,1,1,3,9,11,6,18,5,25,15,10,15,27,30,-2,1,-10,4,-17,5,-24,-5,1,1,0,0,-7,2
1,9,1,1,1,1,3,10,10,6,17,5,25,16,10,13,27,32,-2,-1,-9,3,-16,4,-24,-7,1,1,0,0,-8,2
1,8,1,1,1,1,4,10,10,6,17,5,25,15,10,12,28,32,-3,-2,-9,2,-16,3,-24,-7,1,1,0,0,-9,2
1,7,1,1,1,1,5,10,9,6,17,4,25,14,10,10,30,34,-4,-3,-8,1,-16,3,-24,-7,1,1,0,0,-10,2
1,6,1,1,1,1,4,10,8,6,16,4,25,13,8,8,30,36,-3,-4,-7,0,-15,2,-24,-7,1,1,1,0,-11,2
2,6,1,1,1,1,4,10,8,5,17,4,25,14,7,8,30,34,-2,-4,-6,1,-15,2,-23,-8,0,1,1,1,-12,3
3,6,1,1,1,1,3,10,8,4,17,5,24,14,5,8,28,32,0,-4,-5,2,-14,1,-21,-8,1,1,1,1,-13,3
3,7,1,1,1,1,4,10,9,4,18,5,23,14,5,10,30,32,-1,-3,-6,3,-15,2,-20,-7,1,1,1,0,-14,1
3,8,1,1,1,1,4,9,9,4,18,5,23,13,3,11,31,34,-1,-1,-6,4,-15,3,-20,-5,1,1,1,0,-15,1
3,9,1,1,1,1,4,9,9,5,18,4,23,13,2,11,33,35,-1,0,-6,4,-15,5,-20,-4,1,1,1,0,-16,1
4,9,0,1,1,1,1,1,9,5,17,4,22,13,-1,10,31,33,3,8,-5,4,-13,5,-18,-4,1,1,1,1,-17,3
4,8,0,1,1,1,1,1,10,5,17,3,23,13,-1,10,31,33,3,7,-6,3,-13,5,-19,-5,1,1,1,1,182,2
